,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,demand
0,1,2011-01-01,Spring,2011,January,00.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.84,14.395,81.0,0.0,3,13,16,Low
1,2,2011-01-01,Spring,2011,January,01.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.02,13.635,80.0,0.0,8,32,40,Low
2,3,2011-01-01,Spring,2011,January,02.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.02,13.635,80.0,0.0,5,27,32,Low
3,4,2011-01-01,Spring,2011,January,03.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.84,14.395,75.0,0.0,3,10,13,Low
4,5,2011-01-01,Spring,2011,January,04.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.84,14.395,75.0,0.0,0,1,1,Low
5,6,2011-01-01,Spring,2011,January,05.00,0,Saturday,Weekend,"Mist, Cloudy",9.84,12.879999999999999,75.0,6.0032,0,1,1,Low
6,7,2011-01-01,Spring,2011,January,06.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.02,13.635,80.0,0.0,2,0,2,Low
7,8,2011-01-01,Spring,2011,January,07.00,0,Saturday,Weekend,"Clear, Partly cloudy",8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Low
8,9,2011-01-01,Spring,2011,January,08.00,0,Saturday,Weekend,"Clear, Partly cloudy",9.84,14.395,75.0,0.0,1,7,8,Low
9,10,2011-01-01,Spring,2011,January,09.00,0,Saturday,Weekend,"Clear, Partly cloudy",13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Low
10,11,2011-01-01,Spring,2011,January,10.00,0,Saturday,Weekend,"Clear, Partly cloudy",15.58,19.695,76.0,16.997899999999998,12,24,36,Low
11,12,2011-01-01,Spring,2011,January,11.00,0,Saturday,Weekend,"Clear, Partly cloudy",14.76,16.665,81.0,19.0012,26,30,56,Low
12,13,2011-01-01,Spring,2011,January,12.00,0,Saturday,Weekend,"Clear, Partly cloudy",17.22,21.21,77.0,19.0012,29,55,84,Medium
13,14,2011-01-01,Spring,2011,January,13.00,0,Saturday,Weekend,"Mist, Cloudy",18.86,22.725,72.0,19.999499999999998,47,47,94,Medium
14,15,2011-01-01,Spring,2011,January,14.00,0,Saturday,Weekend,"Mist, Cloudy",18.86,22.725,72.0,19.0012,35,71,106,Medium
15,16,2011-01-01,Spring,2011,January,15.00,0,Saturday,Weekend,"Mist, Cloudy",18.04,21.97,77.0,19.999499999999998,40,70,110,Medium
16,17,2011-01-01,Spring,2011,January,16.00,0,Saturday,Weekend,"Mist, Cloudy",17.22,21.21,82.0,19.999499999999998,41,52,93,Medium
17,18,2011-01-01,Spring,2011,January,17.00,0,Saturday,Weekend,"Mist, Cloudy",18.04,21.97,82.0,19.0012,15,52,67,Low
18,19,2011-01-01,Spring,2011,January,18.00,0,Saturday,Weekend,"Light Snow, Light Rain",17.22,21.21,88.0,16.997899999999998,9,26,35,Low
19,20,2011-01-01,Spring,2011,January,19.00,0,Saturday,Weekend,"Light Snow, Light Rain",17.22,21.21,88.0,16.997899999999998,6,31,37,Low
20,21,2011-01-01,Spring,2011,January,20.00,0,Saturday,Weekend,"Mist, Cloudy",16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Low
21,22,2011-01-01,Spring,2011,January,21.00,0,Saturday,Weekend,"Mist, Cloudy",16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Low
22,23,2011-01-01,Spring,2011,January,22.00,0,Saturday,Weekend,"Mist, Cloudy",16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Low
23,24,2011-01-01,Spring,2011,January,23.00,0,Saturday,Weekend,"Mist, Cloudy",18.86,22.725,88.0,19.999499999999998,15,24,39,Low
24,25,2011-01-02,Spring,2011,January,00.00,0,Sunday,Weekend,"Mist, Cloudy",18.86,22.725,88.0,19.999499999999998,4,13,17,Low
25,26,2011-01-02,Spring,2011,January,01.00,0,Sunday,Weekend,"Mist, Cloudy",18.04,21.97,94.0,16.997899999999998,1,16,17,Low
26,27,2011-01-02,Spring,2011,January,02.00,0,Sunday,Weekend,"Mist, Cloudy",17.22,21.21,100.0,19.0012,1,8,9,Low
27,28,2011-01-02,Spring,2011,January,03.00,0,Sunday,Weekend,"Mist, Cloudy",18.86,22.725,94.0,12.998000000000001,2,4,6,Low
28,29,2011-01-02,Spring,2011,January,04.00,0,Sunday,Weekend,"Mist, Cloudy",18.86,22.725,94.0,12.998000000000001,2,1,3,Low
29,30,2011-01-02,Spring,2011,January,06.00,0,Sunday,Weekend,"Light Snow, Light Rain",17.22,21.21,77.0,19.999499999999998,0,2,2,Low
30,31,2011-01-02,Spring,2011,January,07.00,0,Sunday,Weekend,"Mist, Cloudy",16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Low
31,32,2011-01-02,Spring,2011,January,08.00,0,Sunday,Weekend,"Light Snow, Light Rain",16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Low
32,33,2011-01-02,Spring,2011,January,09.00,0,Sunday,Weekend,"Mist, Cloudy",15.58,19.695,76.0,15.001299999999999,1,19,20,Low
33,34,2011-01-02,Spring,2011,January,10.00,0,Sunday,Weekend,"Mist, Cloudy",14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Low
34,35,2011-01-02,Spring,2011,January,11.00,0,Sunday,Weekend,"Mist, Cloudy",14.76,16.665,71.0,16.997899999999998,16,54,70,Medium
35,36,2011-01-02,Spring,2011,January,12.00,0,Sunday,Weekend,"Mist, Cloudy",14.76,16.665,66.0,19.999499999999998,20,73,93,Medium
36,37,2011-01-02,Spring,2011,January,13.00,0,Sunday,Weekend,"Mist, Cloudy",14.76,17.424999999999997,66.0,8.9981,11,64,75,Medium
37,38,2011-01-02,Spring,2011,January,14.00,0,Sunday,Weekend,"Light Snow, Light Rain",14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Low
38,39,2011-01-02,Spring,2011,January,15.00,0,Sunday,Weekend,"Light Snow, Light Rain",13.940000000000001,16.665,81.0,11.0014,19,55,74,Medium
39,40,2011-01-02,Spring,2011,January,16.00,0,Sunday,Weekend,"Light Snow, Light Rain",13.940000000000001,16.665,71.0,11.0014,9,67,76,Medium
40,41,2011-01-02,Spring,2011,January,17.00,0,Sunday,Weekend,"Clear, Partly cloudy",13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Low
41,42,2011-01-02,Spring,2011,January,18.00,0,Sunday,Weekend,"Mist, Cloudy",14.76,16.665,46.0,22.0028,10,43,53,Low
42,43,2011-01-02,Spring,2011,January,19.00,0,Sunday,Weekend,"Clear, Partly cloudy",13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Low
43,44,2011-01-02,Spring,2011,January,20.00,0,Sunday,Weekend,"Clear, Partly cloudy",12.299999999999999,13.635,39.0,23.9994,5,17,22,Low
44,45,2011-01-02,Spring,2011,January,21.00,0,Sunday,Weekend,"Clear, Partly cloudy",10.66,11.365,44.0,22.0028,11,20,31,Low
45,46,2011-01-02,Spring,2011,January,22.00,0,Sunday,Weekend,"Clear, Partly cloudy",9.84,10.605,44.0,19.999499999999998,0,9,9,Low
46,47,2011-01-02,Spring,2011,January,23.00,0,Sunday,Weekend,"Clear, Partly cloudy",9.02,11.365,47.0,11.0014,0,8,8,Low
47,48,2011-01-03,Spring,2011,January,00.00,0,Monday,Weekday,"Clear, Partly cloudy",9.02,9.85,44.0,23.9994,0,5,5,Low
48,49,2011-01-03,Spring,2011,January,01.00,0,Monday,Weekday,"Clear, Partly cloudy",8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Low
49,50,2011-01-03,Spring,2011,January,04.00,0,Monday,Weekday,"Clear, Partly cloudy",6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Low
50,51,2011-01-03,Spring,2011,January,05.00,0,Monday,Weekday,"Clear, Partly cloudy",6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Low
51,52,2011-01-03,Spring,2011,January,06.00,0,Monday,Weekday,"Clear, Partly cloudy",5.74,5.305,50.0,26.0027,0,30,30,Low
52,53,2011-01-03,Spring,2011,January,07.00,0,Monday,Weekday,"Clear, Partly cloudy",5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Low
53,54,2011-01-03,Spring,2011,January,08.00,0,Monday,Weekday,"Clear, Partly cloudy",5.74,6.0600000000000005,50.0,19.0012,1,153,154,Medium
54,55,2011-01-03,Spring,2011,January,09.00,0,Monday,Weekday,"Clear, Partly cloudy",6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Medium
